country,adm1_code,admin_level_1,year,farmer,nextserv,nremit,nborrow,nsocben,telephone,dsmall,vpfood,foodprod,totvp,totlivstvp,yield_vha,yieldwork,yield_total,yield_weha,yield_maha,yield_riha,foodexp,pcexp2,foodownp,foodcal,totincome,qchem_ha,femhead,agehead,snghead,msize,fsize,dextens,distance,sh_agin,shagwge,shoffarm,shtrans,shother,landop,TLU_total,dmachinery,shirrland,chemexp_ha,qfert_ha,fertexp_ha,qseed_ha,seedexp_ha,dtchadmem,shagprod_sold,shinput_vp,shfert_purch,shseed_purch,shchem_purch,dborrow,amloan,famldays,wfamldays,mfamldays,hlabdays,hlabwage,offlabday,offlabwage,hhsize,eduhead,dsocben,shsocben,dremit,remitt,dphone,TLU_agg_cattle,TLU_agg_poultry,TLU_agg_other,TLU_agg_equins,TLU_agg_pigs,TLU_agg_camels,TLU_agg_goats,var_type
Kenya,51325,Central,2005,804641.895,0.0,374319.654,246818.296,28149.295,478.871,0.889,486.018,0.847,1404.598,608.771,876.981,7.674,3550.006,0.002,,,798.99,1299.922,0.259,2552.509,4313.42,,0.313,50.995,0.254,2.128,2.365,,,0.608,0.074,0.184,0.094,0.04,0.553,0.932,0.015,0.14,30.85,128.089,161.419,58.474,80.714,,0.362,0.468,0.699,0.686,,0.307,296.346,1.122,0.642,0.487,0.278,4.957,0.419,10.305,4.473,6.874,0.035,0.002,0.465,156.228,0.001,0.697,0.0,0.0,0.002,0.011,0.013,0.162,1
Kenya,51326,Coast,2005,295459.407,0.0,133210.184,76589.838,104450.532,231.6,0.478,395.212,0.707,479.144,321.148,325.602,30.583,435.385,0.001,,,508.77,768.62,0.152,2154.503,3062.177,,0.275,49.649,0.258,3.097,3.324,,,0.426,0.04,0.318,0.186,0.031,1.325,1.408,0.014,0.033,7.344,4.052,4.18,9.792,20.617,,0.126,0.229,0.047,0.512,,0.259,170.976,0.479,0.254,0.284,0.098,12.642,0.582,9.888,6.314,4.09,0.354,0.08,0.451,152.65,0.001,0.612,0.0,0.0,0.0,0.0,0.009,0.683,1
Kenya,51327,Eastern,2005,1023477.654,0.0,539535.445,338916.939,376580.657,499.3,0.588,531.015,3.079,691.793,377.987,537.621,6.755,1036.879,0.006,,,667.703,1006.783,0.229,2749.76,2691.606,,0.312,49.08,0.217,2.545,2.672,,,0.583,0.059,0.21,0.111,0.037,1.245,1.884,0.082,0.097,16.538,39.7,48.795,26.06,39.8,,0.236,0.364,0.334,0.67,,0.331,148.791,0.761,0.405,0.386,0.264,4.837,0.438,7.008,5.183,5.341,0.368,0.025,0.527,113.216,0.0,1.208,0.0,0.0,0.054,0.008,0.032,0.498,1
Kenya,51328,Nairobi,2005,19943.763,0.0,2157.45,1767.133,0.0,157.5,0.848,1589.763,1.718,1590.695,1200.008,738.266,33.329,8378.655,0.008,,,2737.994,17092.305,0.033,2155.248,18688.598,,0.057,48.271,0.065,1.33,0.738,,,0.194,0.029,0.693,0.042,0.042,0.308,0.823,0.087,0.069,4.696,32.996,367.066,61.628,95.65,,0.046,0.553,0.689,0.795,,0.089,628.718,0.077,0.045,0.032,0.318,28.715,1.349,6.957,2.068,9.819,0.0,0.0,0.108,351.022,0.008,0.577,0.0,0.0,0.0,0.035,0.0,0.007,1
Kenya,51329,North Eastern,2005,114138.229,0.0,12710.3,3831.2,14809.75,0.0,0.093,25.128,0.06,25.128,782.794,54.637,0.527,485.119,0.0,,,430.846,537.495,0.093,1705.717,1118.777,,0.286,44.081,0.148,3.13,2.922,,,0.847,0.008,0.06,0.076,0.009,0.72,8.559,0.061,0.098,2.914,0.109,0.336,1.666,1.126,,0.011,0.089,0.0,0.056,,0.034,3.854,0.13,0.06,0.342,0.041,7.725,0.126,17.078,5.904,0.882,0.13,0.046,0.111,53.475,0.0,4.208,0.0,0.0,0.021,0.0,1.947,2.382,1
Kenya,51330,Nyanza,2005,910781.043,0.0,512189.135,454113.163,35555.233,393.8,0.851,338.044,0.516,696.517,245.278,600.235,8.059,1138.25,0.001,,,638.478,956.961,0.206,1586.037,2543.811,,0.395,47.49,0.281,2.272,2.468,,,0.579,0.044,0.209,0.12,0.047,0.633,2.495,0.016,0.007,2.722,56.312,74.143,14.322,41.107,,0.175,0.342,0.477,0.611,,0.499,187.812,0.545,0.302,0.244,0.108,5.191,0.411,7.208,4.726,6.249,0.039,0.005,0.562,115.511,0.0,2.268,0.0,0.0,0.006,0.003,0.0,0.144,1
Kenya,51331,Rift Valley,2005,1185319.863,0.0,416564.926,312728.719,178018.736,1971.9,0.641,660.822,2.354,763.104,608.248,778.701,9.361,1227.167,0.003,,,648.515,1103.746,0.255,1787.707,3492.174,,0.286,46.19,0.199,2.777,2.777,,,0.622,0.058,0.205,0.066,0.049,0.921,3.412,0.037,0.032,12.617,68.121,99.2,35.557,82.418,,0.239,0.42,0.56,0.686,,0.264,318.762,0.749,0.403,0.463,0.242,6.275,0.465,9.47,5.481,5.796,0.15,0.017,0.351,59.856,0.002,2.337,0.0,0.0,0.039,0.0,0.026,0.949,1
Kenya,51332,Western,2005,751131.086,0.0,432206.663,212779.273,25822.269,1544.914,0.791,455.751,0.763,1038.745,331.217,586.835,17.961,2637.948,0.001,,,624.563,1001.734,0.225,1629.752,2562.127,,0.304,47.658,0.213,2.639,2.792,,,0.59,0.028,0.217,0.115,0.05,0.729,2.814,0.024,0.022,4.2,67.101,96.52,22.426,46.986,,0.172,0.417,0.545,0.686,,0.283,145.2,0.489,0.249,0.243,0.08,6.594,0.465,5.767,5.378,6.313,0.034,0.003,0.575,88.269,0.002,2.631,0.0,0.0,0.005,0.016,0.0,0.088,1
Uganda,3104,Adjumani,2005,9546.01,674.7,3493.36,0.0,408.11,0.0,0.733,192.656,0.915,234.497,29.63,471.37,4.087,536.703,,0.001,,219.664,452.263,0.279,,2167.854,,0.31,42.1,,2.832,3.123,0.071,3.095,0.299,0.134,0.431,0.095,0.041,2.072,1.12,,0.0,0.065,,3.592,,20.897,,0.133,0.136,,,,0.0,0.0,0.178,0.11,0.038,0.021,7.717,0.219,8.498,5.955,3.866,0.043,0.051,0.366,59.626,,0.896,0.04,0.0,0.0,0.0,0.0,0.224,1
Uganda,3104,Adjumani,2012,6481.961,2149.997,3568.11,0.0,0.0,0.0,0.581,840.529,1.146,902.935,1078.225,518.232,4.367,561.19,,0.001,,291.367,287.825,,,2516.045,0.0,0.193,47.46,,3.289,2.649,0.332,1.426,0.712,0.058,0.143,0.087,0.0,4.65,4.546,0.0,0.0,0.0,0.0,0.0,44.292,19.686,,0.319,0.045,,,,0.0,,0.671,0.274,0.201,0.095,4.313,0.034,1.466,5.938,4.618,0.0,0.0,0.55,180.407,,3.007,0.072,0.0,0.0,0.0,0.0,0.483,1
