"Measure","Time","Time_type","Period of coverage","Ethnicity","Ethnicity_type","Geography","Value","Note","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","All","All","England","76.9","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","Bangladeshi","ONS 2011 18+1","England","70.8","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","Chinese","ONS 2011 18+1","England","70.8","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","Indian","ONS 2011 18+1","England","73.9","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","Pakistani","ONS 2011 18+1","England","72.3","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","Asian other","ONS 2011 18+1","England","78.7","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","Black African","ONS 2011 18+1","England","76.5","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","Black Caribbean","ONS 2011 18+1","England","74.6","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","Black other","ONS 2011 18+1","England","72.8","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","Mixed White/Asian","ONS 2011 18+1","England","75.5","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","Mixed White/Black African","ONS 2011 18+1","England","68.6","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","Mixed White/Black Caribbean","ONS 2011 18+1","England","75.5","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","Mixed other","ONS 2011 18+1","England","80.7","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","White British","ONS 2011 18+1","England","77.1","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","White Irish","ONS 2011 18+1","England","78.9","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","White Gypsy or Irish Traveller","ONS 2011 18+1","England","59","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","White other","ONS 2011 18+1","England","77.8","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","Arab","ONS 2011 18+1","England","71.6","Uses 20 survey questions","","",""
"Patient experience of hospital care","2013-14","Year","Hospital stay: 01/06/2013 to 31/08/2013; Survey collected 01/09/2013 to 31/01/2014","Any other ethnic group","ONS 2011 18+1","England","80.4","Uses 20 survey questions","","",""
